매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,점포수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,버스정류장_수
107218.8132,2020,골목상권,2110983,국립국악고등학교,1,1,2836,1257,783,142178,1,0,0,0,56041,0,0,0,76496.4,73060,602,2861.395863,0,0.535322353,0.713763138,0.276093089,,,,,,,,,,,,,,,,,,,,,,,,,
68735.03755,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,1,4522,1948,1556,326912,0,0,0,1,137097,199,0,0,138894.4,135025,1079,2861.648111,0.072941056,0.875292676,1.021174789,0.344095533,,,,,,,,,,,,,,,,,,,,,,,,,
198378.8095,2020,골목상권,2110985,청담근린공원,1,1,980,472,1338,69924,0,0,0,0,43265,0,0,0,47036.8,41559.5,239,2861.709214,0,0.693401133,0.231133711,1.365306122,,,,,,,,,,,,,,,,,,,,,,,,,
52457.19414,2020,골목상권,2110988,청담역 3번,1,1,1340,480,1594,36951,0,0,0,0,79185,0,30923,1,28663.2,27452.5,345,2862.006177,0,0.378859633,0.631432721,1.189552239,,,,,,,,,,,,,,,,,,,,,,,,,
86405.76557,2020,골목상권,2110989,대치동아우편취급국,1,1,1575,908,444,133641,2,0,0,3,40587,0,0,0,96225,75905,671,2862.388679,0,2.217458792,1.724690172,0.281904762,,,,,,,,,,,,,,,,,,,,,,,,,
78996.98535,2020,골목상권,2110992,도곡초등학교,1,1,8040,3724,2179,519625,2,0,0,1,138866,0,0,0,259506.8,275067,1927,2861.757591,0,1.296213616,0.57609494,0.2710199,,,,,,,,,,,,,,,,,,,,,,,,,
47709.76923,2020,골목상권,2110994,개포고등학교,1,1,1706,744,494,196928,1,0,0,4,61589,0,0,0,83572.4,84549,321,2860.287907,0,0.974199938,2.760233159,0.289566237,,,,,,,,,,,,,,,,,,,,,,,,,
35593.65568,2020,골목상권,2110995,봉은사역 4번,1,1,2888,1115,5085,148306,0,0,0,0,122756,0,0,0,81447,76941.5,893,2860.52261,0.081462413,0.24438724,0.570236893,1.760734072,,,,,,,,,,,,,,,,,,,,,,,,,
52810.58608,2020,골목상권,2110996,대치2동주민센터,1,1,1545,729,1959,156870,1,0,0,0,112840,3,0,0,107049.8,98040,727,2860.170744,0.088621056,0.265863169,0.354484225,1.267961165,,,,,,,,,,,,,,,,,,,,,,,,,
188701.8599,2020,골목상권,2110997,대청초등학교,1,1,7401,3439,1724,899751,0,2,0,6,236963,7721,0,0,388234.2,378576.5,739,2859.332482,0.548608855,1.012816347,2.152234737,0.232941494,,,,,,,,,,,,,,,,,,,,,,,,,
